I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,D
22.248,37.884,21.54,30.304,33.814,20.917,32.352,45.558,25.921,29.342,22.467,17.727,23.621,1.923,37.409,108.67
42.293,32.157,16.838,26.278,16.803,35.474,26.641,13.307,22.439,46.962,13.987,17.538,19.333,15.611,50.01,112.49
34.37,45.488,23.485,22.542,33.419,25.891,46.373,45.323,26.753,35.762,28.718,32.256,25.364,52.164,20.856,123.2
36.037,31.19,39.734,23.155,45.191,18.077,37.001,30.255,10.147,25.773,49.279,32.074,39.835,31.481,67.43,121.47
44.565,36.14,12.751,38.716,45.624,34.028,15.812,25.154,29.756,38.505,31.26,26.158,36.053,18.335,39.711,124.71
20.514,36.63,37.81,25.732,29.036,38.73,34.607,36.321,31.839,42.05,25.972,34.147,36.671,16.308,18.717,114.63
28.964,29.055,39.447,20.938,38.662,28.824,20.417,47.099,11.102,43.329,23.536,36.439,28.445,28.564,37.659,114.2
20.766,25.381,34.752,24.508,24.579,34.325,26.167,23.895,32.227,44.517,37.099,15.928,30.434,42.674,41.969,103.67
41.7,24.527,35.976,33.478,28.501,13.859,32.247,27.51,34.029,23.379,24.363,20.178,47.349,35.089,42.367,119.54
58.418,46.237,25.336,44.013,26.55,18.759,44.066,31.773,28.506,10.975,20.441,35.429,36.368,33.373,31.197,143.05
23.342,41.577,31.977,28.152,22.381,31.007,15.616,22.93,32.271,19.323,39.656,37.903,30.789,32.944,13.523,111.48
13.099,24.468,32.682,16.844,27.45,36.208,42.321,24.762,41.841,27.419,35.397,14.781,28.604,26.52,38.184,96.35
16.955,8.5633,37.274,36.091,17.516,17.723,29.498,33.133,38.77,13.649,16.526,21.556,25.939,25.121,39.456,90.43
35.263,36.996,30.821,38.834,21.91,27.677,43.032,24.848,27.548,45.119,20.976,15.883,27.225,5.1336,31.276,122.89
34.867,23.833,16.79,29.829,21.331,14.42,28.171,24.078,33.927,24.145,30.469,16.69,33.415,40.586,29.237,102.84
22.497,38.255,35.741,23.536,27.844,4.9243,27.792,37.125,3.1232,21.162,49.981,23.995,23.178,23.02,26.56,105.33
32.957,27.47,41.31,44.195,29.62,41.942,25.804,23.467,37.591,42.608,30.618,10.563,27.884,52.187,35.057,124.2
27.544,33.866,25.681,24.029,45.224,27.023,33.231,38.316,35.034,25.613,25.564,36.325,37.229,40.244,20.373,114.27
57.241,36.627,38.581,43.453,12.972,51.483,29.038,41.822,23.988,33.047,38.85,39.065,16.828,72.05,45.715,144.04
26.315,10.829,21.388,28.543,24.049,22.881,45.47,24.104,34.115,35.175,25.884,34.281,30.17,19.303,9.8949,94.841
32.311,32.864,29.195,36.406,15.751,29.983,26.495,3.5277,39.706,32.26,26.403,22.217,22.874,60.706,29.346,112.23
16.571,30.411,25.101,49.017,45.108,29.921,20.9,22.792,9.0514,30.768,41.686,17.944,30.96,15.666,29.489,107.1
38.99,34.778,31.657,10.637,36.637,24.602,33.192,37.491,11.388,37.703,47.263,16.812,37.5,20.048,26.592,117.89
40.712,28.021,34.467,32.487,34.933,18.073,21.349,50.458,39.896,16.593,27.101,31.582,31.1,23.048,32.568,122.44
34.544,30.74,31.857,30.851,41.078,27.391,39.905,36.702,31.097,45.314,41.039,23.507,30.937,27.216,25.865,122.68
47.023,36.425,25.698,12.529,38.464,40.531,26.822,27.205,44.03,33.642,26.691,23.415,19.447,33.137,38.333,125.6
39.538,24.325,18.504,41.287,32.745,24.345,16.643,38.914,32.721,36.985,11.917,37.019,51.424,35.408,9.7755,114.82
26.491,20.088,28.231,27.294,38.598,21.387,15.876,48.429,41.148,26.83,47.453,35.995,32.656,24.245,42.716,104.81
32.419,22.855,34.458,35.239,26.121,14.594,32.376,37.582,33.077,25.148,23.624,17.523,29.752,19.453,32.346,111.86
33.071,23.822,31.996,23.716,20.199,12.137,38.938,23.69,16.964,34.814,30.411,29.708,57.367,17.14,31.403,106.06
27.302,48.447,31.721,44.991,59.741,22.202,28.298,22.879,40.155,41.631,19.12,38.614,23.144,41.689,46.66,130.85
27.1,42.089,25.504,44.307,11.863,28.226,40.131,32.029,23.113,28.527,14.435,45.848,22.141,25.535,30.591,116.11
31.335,28.982,27.736,30.458,37.523,13.096,39.247,54.165,35.345,25.477,26.123,26.213,36.822,29.377,40.306,114.62
33.649,41.177,27.53,20.17,23.507,31.919,12.558,38.242,26.888,33.145,30.943,33.292,10.486,35.91,45.891,115.56
25.93,25.803,26.851,33.696,33.3,24.471,30.081,39.552,33.817,25.586,24.967,45.297,26.542,33.418,15.744,108.91
17.575,42.025,15.652,27.813,14.416,47.192,32.663,24.972,8.9208,22.681,18.348,36.815,48.557,26.876,30.394,100.85
30.044,35.374,29.234,43.719,18.139,15.575,21.526,30.586,36.429,50.156,38.356,41.763,38.105,18.293,28.511,115.45
18.306,33.889,15.28,35.529,39.279,35.811,36.482,32.089,18.747,33.438,35.136,43.452,46.899,10.826,44.17,105.81
22.085,42.848,44.713,35.225,34.754,16.025,35.784,21.468,19.186,36.58,28.675,26.764,33.972,28,14.346,120.13
40.739,61.633,27.703,22.27,32.893,25.269,59.957,28.826,26.861,11.47,34.212,32.363,14.992,53.504,33.016,136.56
24.677,20.192,16.761,33.226,22.236,29.653,33.599,40.129,41.707,20.719,45.143,35.071,22.367,34.244,47.996,99.486
33.74,25.724,34.548,33.961,47.891,15.238,35.672,17.707,25.174,39.437,11.613,23.664,42.312,4.2588,42.488,117.1
31.218,22.992,37.767,13.252,43.235,7.3229,39.582,23.881,30.364,31.061,34.729,25.636,12.035,41.633,23.936,107.23
37.239,17.431,34.306,37.697,29.323,20.296,45.954,32.638,37.712,41.314,26.974,26.504,29.371,37.15,30.887,116.69
33.309,17.198,27.353,36.62,14.433,46.628,27.046,36.907,31.749,41.134,44.516,25.423,43.51,42.433,18.547,109.45
38.923,24.874,47.307,19.07,24.548,20.264,28.715,22.647,22.174,20.872,32.686,34.453,38.606,32.311,19.964,116.73
36.404,39.008,24.331,34.738,37.44,18.089,21.362,16.706,27.228,28.353,31.33,28.287,25.603,37.967,28.463,119.7
24.008,22.062,32.347,38.6,42.198,35.231,33.901,24.671,28.986,30.866,32.595,33.422,22.433,15.974,48.968,111.59
29.545,17.955,23.958,48.86,29.509,44.022,46.481,30.423,20.838,15.079,37.224,22.251,4.4894,30.05,40.911,111.51
33.711,24.301,26.594,34.6,16.899,17.226,35.48,34.068,28.404,21.416,34.918,31.63,19.307,20.727,31.004,108.66
37.062,22.194,30.906,27.638,22.384,21.172,13.041,30.14,30.494,30.013,27.858,29.515,38.662,27.04,51.539,109.1
20.707,34.292,33.14,24.418,15.96,31.337,26.407,45.828,23.999,47.452,28.142,36.276,36.006,36.383,34.184,106.68
21.187,27.357,33.703,29.325,34.097,26.038,25.633,40.963,38.771,25.582,45.754,45.629,44.246,14.466,34.056,108.39
28.248,30.37,34.854,13.634,31.529,34.306,28.843,16.313,32.005,33.895,30.514,39.086,32.009,24.987,26.559,109.44
23.56,41.611,41.042,25.579,35.574,16.145,14.428,27.505,16.717,36.803,35.987,38.558,28.687,26.014,20.037,114.56
41.028,31.203,26.931,17.37,42.021,25.699,12.757,39.796,28.02,32.541,29.411,26.69,42.622,28.086,38.641,117.65
36.191,8.9239,28.144,50.036,45.963,32.365,42.1,38.325,28.728,20.908,15.055,20.268,23.833,27.363,25.964,115.18
38.788,18.289,28.04,25.852,29.057,15.431,35.005,48.68,23.006,37.397,43.647,33.413,38.944,27.714,27.293,110.95
23.845,50.246,49.512,35.451,39.086,25.053,31.476,20.068,25.355,21.885,26.977,29.656,30.713,38.027,32.625,128.93
25.828,33.209,24.19,36.602,24.377,39.644,38.315,22.109,22.981,30.198,42.386,31.586,17.991,18.499,39.252,112.17
41.656,30.717,23.545,37.625,34.912,25.667,22.814,44.38,34.06,20.009,38.858,26.267,20.475,8.8284,33.901,122.67
44.251,33.126,40.491,10.208,28.138,65.369,41.278,41.306,35.148,34.205,42.143,41.669,37.893,37.054,23.992,130.55
23.814,27.114,35.542,63.857,15.812,43.952,18.242,42.653,39.286,25.474,34.236,20.549,10.028,32.623,36.126,116.97
24.637,20.936,53.119,15.879,34.038,33.736,43.56,25.018,27.786,20.574,25.359,38.726,39.908,30.42,42.51,111.05
22.884,36.627,41.842,28.866,40.964,17.6,39.782,28.288,26.518,43.988,33.077,42.03,16.747,20.91,30.322,117.78
36.819,37.465,22.784,22.002,30.622,16.851,24.518,22.96,42.144,19.881,21.309,37.609,19.67,31.471,22.043,114.21
36.183,47.781,27.278,25.347,36.015,10.302,42.188,47.162,18.076,18.191,13.691,29.435,26.814,14.167,36.384,123.69
23.743,38.774,17.971,57.424,20.936,18.98,31.371,42.582,31.939,34.269,32.06,36.379,20.665,23.669,44.051,113.65
30.213,18.445,33.157,41.208,41.118,21.075,54.466,44.375,45.461,24.713,30.387,32.017,28.559,37.606,49.407,116.61
33.876,29.089,26.395,25.055,6.0903,24.388,35.112,36.008,43.46,40.23,47.558,40.797,18.756,35.73,26.201,108.4
24.527,32.186,13.258,37.782,32.611,20.619,41.52,36.522,43.19,31.414,31.98,17.895,29.088,36.34,32.097,107.14
46.062,19.569,32.431,23.009,15.78,48.754,37.609,43.345,52.9,38.466,36.889,36.037,33.943,38.13,23.861,121.11
39.518,31.353,27.263,35.022,24.094,35.667,30.074,35.733,31.967,35.023,29.686,34.214,44.096,49.905,29.59,122.43
24.311,30.368,28.167,40.891,39.975,20.876,34.62,12.078,23.582,35.982,35.148,33.477,22.021,9.7207,5.7427,111.39
33.604,16.939,24.841,32,29.052,26.918,23.484,18.824,29.853,34.467,24.605,40.702,33.586,38.781,34.859,105.41
17.607,29.898,25.852,25.55,26.203,39.827,39.116,51.549,40.608,41.534,20.137,44.897,16.478,33.178,30.831,105.06
20.347,31.167,49.608,31.069,27.925,42.304,47.422,36.407,43.851,16.401,28.276,32.065,41.82,21.433,38.865,118.73
43.67,25.77,17.692,29.678,23.2,43.467,40.943,30.617,33.952,16.44,15.216,17.87,18.359,22.073,31.611,116.75
34.012,40.515,38.394,29.008,24.858,21.358,56.456,33.793,21.408,14.204,38.175,30.059,48.346,44.986,23.927,124.91
30.734,24.936,35.688,28.44,28.661,28.162,17.969,30.779,24.08,20.999,38.133,28.241,18.817,24.249,43.149,110.83
19.732,23.428,21.402,33.335,20.345,30.967,32.52,37.542,32.141,49.003,23.887,31.828,35.97,42.627,32.558,99.266
15.454,28.729,30.504,30.269,37.9,37.826,25.025,14.128,27.921,36.108,38.277,44.762,28.937,42.183,24.851,103.69
36.525,43.251,39.939,18.257,27.858,24.852,31.305,17.431,39.357,38.715,5.0545,33.891,24.548,32.183,50.453,123.65
22.645,29.928,22.042,35.115,32.403,11.837,40.725,37.827,9.964,20.751,18.664,26.049,34.889,34.551,21.814,103.35
20.024,24.089,39.639,42.364,35.231,20.341,8.2801,31.484,41.106,17.943,29.615,20.826,14.917,41.791,23.81,106.74
54.734,35.777,37.866,32.756,35.207,28.797,26.417,33.361,8.4273,32.699,37.074,29.573,27.212,30.501,34.898,138.41
16.359,31.865,37.685,40.357,48.411,29.671,24.902,7.6048,37.76,30.902,33.68,42.102,24.17,29.436,24.732,111.88
51.378,27.19,27.267,28.34,30.363,38.989,46.463,34.977,37.825,15.605,40.539,22.929,47.7,37.082,41.172,129.73
31.417,36.465,32.922,24.703,25.092,41.022,34.922,49.341,17.327,19.554,20.318,14.808,21.734,40.118,41.601,118.65
19.884,37.139,40.106,32.126,48.943,28.25,18.28,46.755,35.84,39.726,36.202,28.247,47.596,21.281,26.119,118.71
40.161,18.452,36.617,30.239,32.379,18.541,30.761,29.167,29.704,34.85,37.168,52.382,35.792,32.521,20.461,116.73
30.341,30.01,18.131,13.583,36.57,28.986,21.465,21.35,11.704,31.945,40.319,19.306,32.971,29.593,28.936,102.21
24.223,20.391,54.608,32.907,20.487,38.226,20.396,35.657,40.777,14.465,19.461,15.27,45.061,22.091,22.001,112.07
19.277,30.607,13.738,18.731,35.201,22.142,25.699,19.939,25.809,66.251,25.622,18.442,29.023,28.093,13.714,94.475
46.178,31.486,23.272,39.084,49.685,36.596,30.936,13.551,18.306,37.282,32.635,39.297,50.571,21.131,36.252,129.62
36.182,29.703,17.333,37.757,34.313,32.139,35.03,40.496,36.787,31.751,20.14,23.051,13.168,40.718,14.32,117.57
39.9,29.285,21.695,30.068,29.393,19.522,32.302,48.105,18.299,47.478,32.439,40.006,26.269,32.656,26.604,116.93
26.884,8.6464,36.648,51.713,28.508,28.719,56.586,23.803,26.271,48.915,31.682,19.83,17.415,24.372,27.694,109.17
26.84,22.546,20.499,35.277,32.11,35.886,21.426,27.454,29.226,28.282,14.155,24.235,21.073,29.978,32.602,104.35
21.748,45.789,26.727,46.173,29.023,31.169,21.452,11.434,42.116,53.512,18.2,28.206,29.456,17.131,31.043,117.38
13.025,24.324,23.145,29.121,40.61,32.845,47.956,32.435,41.98,32.525,39.209,32.741,33.731,39.645,37.652,100.16
36.033,22.238,20.544,18.118,21.351,40.377,45.671,37.02,30.976,54.847,30.012,41.467,41.389,27.836,22.71,108.86
30.959,36.699,50.256,26.184,24.291,24.237,30.558,9.6055,28.782,25.797,41.423,21.723,28.669,21.027,39.022,120.6
23.127,38.22,39.84,13.787,27.487,30.677,29.849,22.542,42.211,24.237,30.965,31.596,26.372,39.509,13.683,111.17
23.089,42.981,36.725,29.125,34.914,17.249,40.303,45.076,31.026,46.603,14.151,38.014,16.651,7.2747,49.361,119.02
50.364,32.679,39.036,41.703,15.018,35.892,18.306,39.542,29.431,18.107,42.181,16.499,39.547,34.142,35.568,133.28
34.973,53.922,25.026,18.945,39.598,20.088,47.721,23.608,34.866,22.353,35.935,38.608,36.533,36.329,34.263,126.49
38.665,17.486,47.598,32.498,34.754,22.742,24.286,17.711,33.374,22.364,35.794,12.865,21.481,27.191,42.057,118.44
27.444,40.793,27.76,24.695,38.717,36.698,39.27,29.999,35.241,44.959,24.261,28.525,37.852,18.173,43.261,119.61
31.8,36.76,42.585,25.141,28.793,32.028,23.698,31.715,20.658,24.847,23.277,45.194,22.994,12.31,46.828,120.99
30.389,34.383,44.898,30.476,44.614,35.726,31.414,31.335,31.695,18.909,28.588,31.644,39.263,19.119,16.096,126.23
35.882,18.545,31.451,28.083,26.109,30.173,1.5868,35.977,25.454,22.956,29.69,33.547,22.526,42.928,45.943,106.05
29.521,32.058,44.641,38.756,12.854,40.316,14.443,25.002,32.397,49.206,28.601,27.08,7.3761,36.219,30.205,118.21
23.288,41.506,17.494,20.022,9.2208,19.112,19.237,37.368,39.991,31.929,34.616,32.422,23.141,22.507,30.375,99.412
29.979,17.843,42.275,26.63,16.038,18.414,35.169,41.906,21.227,14.801,45.137,24.804,14.527,16.497,43.969,105.78
18.981,33.626,16.127,31.873,37.625,27.042,35.853,23.502,31.596,31.525,34.907,36.569,14.742,48.97,26.458,103.62
34.056,46.536,55.888,22.896,20.799,26.873,36.658,27.067,42.681,25.465,24.035,45.891,16.16,34.336,20.17,131.62
37.458,29.739,26.409,35.193,20.366,29.861,46.626,42.052,26.404,31.767,30.41,35.53,57.533,18.806,16.199,119.63
35.403,14.502,43.544,25.963,41.328,26.444,16.659,44.518,28.859,27.542,41.24,11.548,34.656,24.357,45.889,113.91
10.836,19.968,23.316,28.088,20.266,24.15,15.709,30.584,24.455,18.259,35.441,36.431,28.869,33.657,22.807,84.767
41.128,24.595,9.944,26.134,18.046,32.573,18.13,30.486,33.109,30.466,23.229,36.088,29.31,28.599,45.814,105.32
38.145,33.517,32.748,26.843,29.574,31.615,32.671,25.477,18.17,22.109,21.425,12.549,25.871,24.174,53.583,120.53
32.856,35.985,24.447,20.848,63.429,27.116,35.808,5.8219,36.381,49.804,35.362,17.89,25.751,36.175,40.242,118.76
16.728,41.716,29.179,10.158,35.274,30.043,42.165,45.411,44.773,27.446,32.865,32.638,36.776,25.089,19.629,107.31
24.553,49.549,26.496,49.796,18.605,17.168,27.393,36.283,36.046,32.064,31.149,27.369,28.851,24.805,43.743,119.93
30.641,38.043,42.711,2.6305,36.907,30.404,20.613,29.6,24.592,33.811,32.615,27.877,53.653,36.414,22.796,114.01
42.791,28.142,35.898,42.631,25.481,40.526,34.817,36.748,22.776,24.667,37.988,39.33,47.743,27.495,29.675,129.5
26.306,40.786,27.829,32.737,32.389,46.955,41.735,35.051,20.387,22.833,20.884,26.911,50.674,48.282,26.235,120.4
31.422,45.958,34.647,23.678,32.794,30.54,29.436,26.759,33.462,41.875,22.071,46.335,39.604,35.564,33.364,124.41
24.715,31.053,8.2288,37.309,18.033,43.6,26.766,41.028,30.54,28.947,45.403,39.402,20.973,44.777,24.705,102.79
45.75,23.091,18.14,27.266,53.546,23.848,15.945,28.47,35.494,45.282,22.561,26.227,32.784,28.082,33.904,117.96
31.561,11.518,27.064,22.396,38.824,25.975,24.55,24.062,32.174,10.696,30.052,30.644,15.391,17.304,38.539,99.927
23.58,26.311,14.857,45.041,15.004,47.414,33.859,24.221,22.184,22.53,30.377,24.394,27.787,31.697,33.958,102.75
29.644,30.506,38.595,30.309,2.1231,44.814,27.835,22.605,24.384,22.535,41.706,32.631,41.292,35.637,36.297,110.44
30.979,36.724,19.726,34.659,35.417,42.269,20.601,29.591,29.793,31.212,31.895,31.02,24.577,20.216,9.5706,117.1
37.522,20.118,29.649,16.537,31.426,36.165,33.272,38.004,22.05,27.799,39.841,17.744,22.685,21.276,43.42,111.01
44.826,29.691,39.475,27.749,27.184,25.487,22.563,11.912,24.182,13.949,27.962,22.991,21.635,20.083,29.437,122.53
29.133,25.457,28.56,34.951,22.256,17.988,51.023,33.533,44.96,31.047,43.676,41.244,32.349,18.56,23.324,111.2
51.685,36.454,37.46,35.072,27.863,19.992,28.062,31.839,35.429,34.771,52.724,44.544,22.666,27.199,37.521,136.41
52.978,17.424,24.96,35.115,40.756,29.674,36.968,29.897,31.064,30.359,27.629,28.334,32.16,32.194,35.403,125.8
58.58,39.337,12.372,27.059,34.963,37.26,15.924,44.311,26.604,19.571,29.615,38.669,51.52,35.682,11.958,132.09
27.87,32.827,37.911,37.967,11.304,4.3722,47.021,27.515,32.271,41.208,15.821,40,34.74,35.955,24.085,111.13
19.67,7.8593,22.717,30.029,21.468,52.39,17.834,34.755,45.048,25.867,31.767,18.782,25.746,26.208,26.793,90.388
33.638,18.224,28.498,26.94,45.249,43.371,32.993,36.955,40.863,29.362,31.26,30.512,30.568,27.803,24.296,114.71
14.277,21.769,32.774,45.065,42.135,31.155,51.92,29.045,33.738,47.215,23.949,38.344,13.666,38.269,25.945,107.84
26.042,25.956,9.4034,28.368,28.28,34.435,35.604,29.099,38.319,42.906,22.968,17.907,39.676,45.047,32.998,100.4
48.996,23.944,41.714,44.82,31.012,14.475,32.539,28.819,27.982,10.739,44.359,23.447,41.152,40.329,28.644,130.11
28.272,18.008,46.195,-1.6362,23.015,36.833,33.526,20.951,27.519,37.922,31.955,28.001,17.465,25.506,31.132,98.113
24.181,22.246,49.688,32.49,25.622,35.59,35.823,25.113,18.53,24.464,32.243,17.76,25.104,32.763,31.596,112.54
28.108,39.096,44.436,42.352,34.336,17.235,30.33,11.336,32.547,19.753,24.43,29.69,28.465,37.302,27.059,123.13
29.579,18.615,30.515,27.854,8.7112,22.166,36.353,28.505,22.003,30.707,27.732,15.729,30.089,38.629,21.139,99.888
32.866,22.394,37.206,26.345,22.197,15.625,56.846,30.357,34.905,29.169,38.48,35.28,8.9017,32.246,35.692,112.05
37.329,34.462,37.395,30.61,31.581,54.193,40.219,39.246,29.425,41.571,20.427,28.796,36.028,34.105,36.523,130.32
42.025,30.732,35.126,38.924,17.48,30.436,49.753,22.327,37.12,25.552,9.3536,21.323,34.711,29.07,18.261,125.62
29.474,41.194,32.525,39.968,23.995,32.988,1.6689,29.235,41.248,36.987,31.158,37.321,43.705,46.694,36.425,118.65
34.121,35.996,34.95,31.769,46.45,46.924,36.935,25.876,33.106,32.515,34.739,32.357,26.783,34.7,25.922,129.14
22.323,33.223,39.41,22.167,46.108,34.711,37.335,32.79,31.1,56.919,17.968,39.801,23.75,33.5,18.953,116.67
9.3792,38.365,20.45,40.008,17.058,26.87,13.092,24.02,38.174,32.849,50.871,25.065,33.615,51.36,29.423,96.142
41.667,24.089,34.771,24.162,24.612,26.07,23.561,31.847,24.944,47.024,44.775,28.584,25.1,16.536,27.569,117.33
24.667,43.746,38.079,19.684,17.434,34.986,35.534,42.215,40.276,18.082,30.978,48.759,40.885,22.798,34.371,116.8
25.579,34.839,13.693,32.472,35.977,26.63,29.108,21.24,39.573,2.2458,26.969,29.567,24.259,43.254,17.146,105.37
36.599,30.22,37.248,14.882,24.524,26.637,34.746,47.543,40.136,32.133,24.222,25.786,44.928,40.413,38.486,117.34
29.321,19.411,17.68,32.161,37.442,40.326,25.141,41.823,38.347,36.853,27.396,14.117,2.295,30.312,28.114,105.97
